Nota,Judul Buku
PNJM-230115-0138,"['Dewi Sartika Srikandi Tanah Parahyangan/ Roni Hidayat', 'MENGUKIR MASA DEPAN/ NIDHOEN SRIYANTO']"
PNJM-230116-0139,"['Tanaman Obat Indonesia: Buku 3/ H. Azwar Agoes', 'Tanaman Obat Untuk Mengatasi Hepatitis/ Efi Afifah, Tim Lentera']"
PNJM-230116-0140,['METODOLOGI PEMBELAJARAN BAHASA ARAB/ ACEP HERMAWAN']
PNJM-230116-0141,['Mewujudkan Good Governance Melalui Pelayanan Publik/ Agus Dwiyanto']
PNJM-230116-0142,"['Optimalisasi Otak: Membangun Sikap dan Kebiasaan Untuk Memaksimalkan Kinerja Otak Pada Usia Lanjut/ Michael J. Gelb, Kelly Howell; Penerjemah, Imam Mitaqin', 'Logika Ceo: Jurus Berpikir dan Bertindak Seorang Ceo/ C.Ray Johnson; Penerjemah, Totok S. Wiryasaputra']"
PNJM-230116-0143,['Anak Sejuta Bintang Perjalanan Panjang Penuh Cahaya/ Akmal Nasery Basral']
PNJM-230117-0144,['RAGAM KALIMAT NONSASTRA/ FAJAR RACHMAWATI']
PNJM-230117-0145,"['Ensiklopedia Metodologi Al-Quran 6: ekonomi & Indeks/ Muhammad As-Sayyid Yusuf, Ahmad Durah, Muhammad Qadir Hakim; Penerjemah, Abu Bakar Ahmad.', 'Top Modul Soal Resmi Psikotest Terupdate dan Terlengkap/ Mikhaela M']"
PNJM-230117-0146,['Peradaban Besar Dunia Mesir Kuno I/ Fardhilah']
PNJM-230117-0147,"['Blink: Kemampuan Berpikir Tanpa Berpikir/ Malcolm Gladwell; Penerjemah, Alex Tri Kantjono W.']"
PNJM-230118-0148,"['Evaluasi Program Pendidikan/ Suharsimi Arikunto, Capi Safuddin Abddul Jabar', 'EVALUASI PROGRAM PENDIDIKAN LUAR SEKOLAH: UNTUK PENDIDIKAN NONFORMAL DAN PENGEMBANGAN SUMBER DAYA MANUSIA/ DJUDJU SUDJANA']"
PNJM-230118-0149,['Basic Conversation/ Djalinus Syah']
PNJM-230118-0150,"['Hukum Pertanahan: Seri Hukum Pertanahan 1 Pemberian Hak Atas Tanah Negara, Seri Hukum Pertanahan II Sertipikat Dan Permasalahannya/Ali Achmad Chomzah']"
PNJM-230118-0151,['Fantasteen: Far Away/ Muthia Kemala Dewi']
PNJM-230118-0152,"['Psikologi Prasangka Orang Indonesia: Kumpulan Studi Empiruk Pransanaka dalam Berbagai Aspek Kehidupan Orang Indonesia/ Sarlito Wirawan Sarwono', 'I Need You: I Just Cant Show You/ Yoana Dianika']"
PNJM-230118-0153,"['Japan Beyond Tokyo/ Evan Yovian', 'DONGENG SEMUSIM: PADA SUATU CINTA, KISAH INI PERNAH ADA/ SEFRYANA KHAIRIL']"
PNJM-230118-0154,"['Ghost School Days: Pesan Berantai/Assyifa S. Arum', 'Assalamualaikum Cantik/ Dewi Sandra']"
PNJM-230119-0155,"['Sahabat Muhammad: Kisah Cinta Dan Pergulatan Iman Generasi Muslim Awal/ Nizar Abazhah, Penerjemah: Taufik Damas', 'Aisyah: Wanita Cerdas YangDicintai Rasulullah/ Abdurrahman Al- Asymawi; Penerjemah, Hadiri Abdurrazaq']"
PNJM-230120-0156,['Pajak Penghasilan/Rahmat Hidaya Lubis']
PNJM-230120-0157,"['METODOLOGI PENELITIAN KEPERAWATAN/ V. WIRATNA SUJARWENI', 'Stres, Koping dan Adaptasi: Teori dan Pohon Masalah Keperawatan/ Rasmun']"
PNJM-230120-0158,['Senandung Di Kota Bandung/ Tiyas Puspita Sari']
PNJM-230120-0159,"['Hukum Perlindungan Konsumen Indonesia Edisi Revisi 2008/ Shidarta', 'Perkembangan Hukum Kontrak Innominaat di Indonesia: Buku Kesatu/ Salim']"
PNJM-230120-0160,"['Hukum Perjanjian: Teori dan Analisa Kasus/ Suharnoko', 'Hukum Perlindungan Konsumen/ Ahmadi Miru, Sutarman Yodo']"
PNJM-230121-0161,"['Ensiklopedi Komik Sains: Jilid 5/ Wahyu Frayudha', 'Seri Cerita Anak Usia Dini: Nikmatnya Makan Buah, Delicious Eating Fruits/ Zahidah R Samani']"
PNJM-230121-0162,"['Lima Ratus + Gelombang Video Porno: Jangan Bugil Di Depan Kamera/ Sony Set', 'Love Life: Heaven/ Elisa Herman']"
PNJM-230121-0163,"['PERTEMPURAN DUNIA/ H.G. WELLS; PENERJEMAH, URSULA GYANI BUDITJAHJA', 'Beautiful Creatures: Kasig Yang Indah/ Kami Garcia, Margaret Stohil; Penerjemah, Monica D. Chresnaya']"
PNJM-230121-0164,"['Montmartre: hatiku Tertinggal/ Olenka Priyadarsani', 'Rahasia Hati/Priessia Megarukmi']"
PNJM-230121-0165,"['Hukum Orang dan Keluarga Edisi Revisi: Perspektif Hukum Perdata Barat/BW, Hukum Islam, dan Hukum Adat/ Soeharyo Soimin']"
PNJM-230121-0166,"['kkpk: Hadiah Dari Teman/ Finasya Ainoor Afifah ,Anita, Aisyah Khumairah. [et.al]', 'Somewhere Called Home/ Dhamala Shobita']"
