antecedents,consequents,support,confidence,lift
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),frozenset({'TELAAH KRITIS ADMINISTRASI & MANAJEMEN SEKTOR PUBLIK DI INDONESIA:MENUJU SISTEM PENYEDIAAN BARANG DAN PENYELENGGARAAN PELAYANAN YANG BERORIENTASI PUBLIK/ KRISTIAN WIDYA WICAKSONO'}),0.00039824771007566706,0.16666666666666669,139.50000000000003
frozenset({'TELAAH KRITIS ADMINISTRASI & MANAJEMEN SEKTOR PUBLIK DI INDONESIA:MENUJU SISTEM PENYEDIAAN BARANG DAN PENYELENGGARAAN PELAYANAN YANG BERORIENTASI PUBLIK/ KRISTIAN WIDYA WICAKSONO'}),frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,0.33333333333333337,139.50000000000003
frozenset({'Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto'}),frozenset({'Evaluasi Pembelajaran: Prinsip Teknik Prosedur/ Zainal Arifin'}),0.00039824771007566706,0.5,114.13636363636364
frozenset({'Evaluasi Pembelajaran: Prinsip Teknik Prosedur/ Zainal Arifin'}),frozenset({'Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto'}),0.00039824771007566706,0.09090909090909091,114.13636363636364
frozenset({'Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto'}),"frozenset({'KONSEP DASAR MANAJEMEN PENDIDIKAN DI SEKOLAH/ DARYANTO, MOHAMMAD FARID'})",0.00039824771007566706,0.5,1255.5
"frozenset({'KONSEP DASAR MANAJEMEN PENDIDIKAN DI SEKOLAH/ DARYANTO, MOHAMMAD FARID'})",frozenset({'Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto'}),0.00039824771007566706,1.0,1255.5
"frozenset({'Islam, Negara, dan Demokrasi: Himpunan Percikan Perenungan Gusdur/ Abdurrahman Wahid'})",frozenset({'Agama dan Negara Dalam Perspektif Islam/ M. Natsir'}),0.00039824771007566706,1.0,2511.0
frozenset({'Agama dan Negara Dalam Perspektif Islam/ M. Natsir'}),"frozenset({'Islam, Negara, dan Demokrasi: Himpunan Percikan Perenungan Gusdur/ Abdurrahman Wahid'})",0.00039824771007566706,1.0,2511.0
frozenset({'Agar Anda Bahagia Jadi Hamba Allah: Dialog Mencerahkan Sang Guru Kehidupan/ Dhiyauddin Kushwandhi'}),"frozenset({'Fikih Perempuan (Muslimah): Busana dan Perhiasan Penghormatan atas Perempuan, Sampai Wanita Karier/ Syaikh Mutawalli As-Syarawi; Penerjemah, Yessi HM. Basyaruddin'})",0.00039824771007566706,1.0,2511.0
"frozenset({'Fikih Perempuan (Muslimah): Busana dan Perhiasan Penghormatan atas Perempuan, Sampai Wanita Karier/ Syaikh Mutawalli As-Syarawi; Penerjemah, Yessi HM. Basyaruddin'})",frozenset({'Agar Anda Bahagia Jadi Hamba Allah: Dialog Mencerahkan Sang Guru Kehidupan/ Dhiyauddin Kushwandhi'}),0.00039824771007566706,1.0,2511.0
